,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
1079,"San Antonio (Northeast), Universal City & Converse Cities PUMA, TX",85941592.12521252,Air traffic controllers & airfield operations specialists,958689661.7777778,147868770.2345238
1080,"Sanger, Reedley & Parlier Cities PUMA, CA",85931872.0899818,Physicians,1157392411.1538463,418213885.2623563
1081,"St. Louis City (North) PUMA, MO",85886760.14973114,"Eligibility interviewers, government programs",852168530.0,77093456.59186015
1082,"Columbus (South), Grove Cities & Groveport Village PUMA, OH",85834171.22392872,Accountants & auditors,305770806.2307692,126022791.46614787
1083,"Imperial Calcasieu Regional Planning & Development District 1 (North) PUMA, LA",85829254.32896602,Speechlanguage pathologists,794811031.5505618,101519172.27048917
1084,"Sauk & Columbia Counties PUMA, WI",85818449.34234649,Artists & related workers,899283705.6428573,52177021.9672297
1085,"Windham County PUMA, CT",85812669.22417095,Computer & information systems managers,475247826.367347,207310144.3027507
1086,"Providence CountyPawtucket & Central Falls Cities PUMA, RI",85789350.98997845,"Sales representatives of services, except advertising, insurance, financial services, and travel",512621475.17030567,152470294.37031612
1087,"Hollywood (North) & Dania Beach (South) Cities PUMA, FL",85788263.47209288,Skincare specialists,975077533.1428572,42176201.214398555
1088,"Boise (North & West) & Garden City Cities PUMA, ID",85785493.44168238,Physicians,811198937.8039216,418213885.2623563
1089,"St. Cloud City PUMA, MN",85785241.70854884,Physicians,997610821.5,418213885.2623563
1090,"Chester & Rockwood PUMA, VA",85772567.16223396,"Medical scientists, & life scientists, all other",512120539.3103448,161714428.60932094
1091,"Seat Pleasant City, Capitol Heights Town & Landover PUMA, MD",85768310.50034721,Air traffic controllers & airfield operations specialists,327757134.0392157,147868770.2345238
1092,"St. Clair County PUMA, MI",85756121.4064387,Structural iron & steel workers,874701816.9411767,84110598.49489221
1093,"Elkhart & Goshen Cities PUMA, IN",85740157.672149,Actuaries,843974642.8717948,265049587.04010835
1094,"Arlington City (West)South of I-30 & East of Loop I-820 PUMA, TX",85726363.38866612,Urban & regional planners,958689665.1818182,127921131.58282794
1095,"Rural Nevada PUMA, NV",85646075.79353496,Dentists,729778260.6582278,258225172.68799314
1096,"Brownsville & Ocean Hill PUMA, NY",85638874.9779516,Management analysts,297029895.40645164,144421115.31703618
1097,"Greater Niagara Falls & North Tonawanda Area PUMA, NY",85623071.34977609,Dietetic technicians and ophthalmic medical technicians,708861976.0,48087362.34086192
1098,"Wood, Pleasants & Wirt Counties PUMA, WV",85608943.77675202,Project management specialists,716968727.2835821,173582267.295105
1099,"Mentor, Painesville Cities & Madison Village PUMA, OH",85558833.19576629,Chief executives & legislators,517772596.5699874,285675917.3191395
1100,"Oklahoma City (West) PUMA, OK",85531217.4921143,Insurance sales agents,416027180.77386934,108894176.09057176
1101,"Upland & Montclair Cities PUMA, CA",85470930.24400562,Other financial clerks,460908491.8153846,154601498.81592458
1102,"Joliet & Troy Townships PUMA, IL",85468099.21329388,Executive secretaries and executive administrative assistants,1112325823.3663366,103728898.06394504
1103,"Tazewell County PUMA, IL",85453048.15187196,Physicians,456778095.38461536,418213885.2623563
1104,"Wayne & Seneca Counties PUMA, NY",85450984.74862865,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",1351998168.0,60001368.38128515
1105,"Deer Park, La Porte (North) Cities & Channelview PUMA, TX",85436300.82445465,Property appraisers and assessors,327757143.125,97989158.45697127
1106,"Pittsburgh City (North) PUMA, PA",85429259.85807937,Surgeons,995562386.8235295,571660495.1726127
1107,"Glades & Western Communities PUMA, FL",85390503.9552901,Physicians,571597158.0,418213885.2623563
1108,"Olympia, Lacey & Tumwater Cities PUMA, WA",85384327.49499062,Surgeons,1067259229.3333333,571660495.1726127
1109,"Manchester City PUMA, NH",85369667.2365281,Graphic designers,1075453180.0909092,77550002.63985498
1110,"Mooresville Town & Statesville City PUMA, NC",85351142.81926607,Physicians,555085585.5604606,418213885.2623563
1111,"Erie County (South) PUMA, NY",85350066.56207405,Nurse anesthetists,368726779.32203394,278728431.6744965
1112,"East of Loop TX-12 & West of I-35E PUMA, TX",85346785.39086182,Chief executives & legislators,532395138.53711796,285675917.3191395
1113,"Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA, TX",85340648.05592984,Chief executives & legislators,495732652.30344826,285675917.3191395
1114,"Galveston, Texas City & La Marque Cities PUMA, TX",85328458.17615232,Social & community service managers,958689655.4042554,109007660.97080216
1115,"Nassau & Baker Counties PUMA, FL",85312059.17872752,Dentists,432747262.27368426,258225172.68799314
1116,"Peoria City (South & Central) PUMA, AZ",85307695.64634413,Surgeons,843974658.7894737,571660495.1726127
1117,"Inner Cape Cod Towns & Barnstable Town City PUMA, MA",85301696.91535845,Actuaries,665756726.6165414,265049587.04010835
1118,"Oro Valley Town PUMA, AZ",85280457.45890158,Other drafters,471150909.3191489,93993587.20506744
1119,"Troup, Meriwether & Heard Counties PUMA, GA",85267798.03257088,Physicians,964835059.1460674,418213885.2623563
1120,"Kent City PUMA, WA",85178123.10301541,Sales managers,339303151.95151514,215569207.83716124
1121,"Gastonia & Belmont Cities PUMA, NC",85171585.36492844,Optometrists,846023127.0638299,184080141.33135125
1122,"Troy City PUMA, NY",85145274.85402861,Chief executives & legislators,964591200.4285715,285675917.3191395
1123,"Cherokee County (Central)Woodstock & Canton Cities PUMA, GA",85129309.11336818,Personal financial advisors,964835108.1904762,224327492.92839324
1124,"Murrysville Municipality & New Kensington City PUMA, PA",85125703.84982014,Dentists,818497028.606414,258225172.68799314
1125,"Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA, TX",85119032.47375977,Market research analysts & marketing specialists,409696434.5769231,136965985.46571857
1126,"Jacksonville City (Southeast) PUMA, FL",85102724.84854053,Computer & information systems managers,730124564.1333333,207310144.3027507
1127,"Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA, CA",85089957.20174539,"Lawyers, & judges, magistrates, & other judicial workers",454436287.9509202,251695543.47547695
1128,"Mesa City (North Central) PUMA, AZ",85062141.66171019,Miscellaneous health technologists & technicians,409696439.4375,82662374.4689923
1129,"Coastal Region PUMA, CA",85050177.76567437,Radio & telecommunications equipment installers & repairers,1157392405.4634147,89527424.52722444
1130,"Manatee County (South) PUMA, FL",85035463.1230961,Personal financial advisors,852245439.3433396,224327492.92839324
1131,"McLennan CountyWaco (Outer), Hewitt & Robinson Cities PUMA, TX",85020861.95468256,Physicians,587037694.5469729,418213885.2623563
1132,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA, OK",85006849.028571,"Metal furnace operators, tenders, pourers, & casters",846023107.2972974,77734459.82906008
1133,"Bonita Springs City & Estero (East) PUMA, FL",84990170.673509,Aircraft pilots & flight engineers,779603161.1520001,233771261.06901407
1134,"Orange County (Southeast) PUMA, FL",84948494.94173118,Chief executives & legislators,698265230.7826087,285675917.3191395
1135,"Collier County (Southwest) PUMA, FL",84937509.9973182,Information security analysts,975077544.4705882,200694182.4692968
1136,"Hillsborough County (Central) PUMA, FL",84928709.16248778,Physicians,786899698.0788178,418213885.2623563
1137,"Hawthorne City PUMA, CA",84904201.60728826,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",1157392443.1764708,158606202.17782545
1138,"Kaufman County PUMA, TX",84877470.52024803,Aircraft pilots & flight engineers,958689687.826087,233771261.06901407
1139,"Hartford Town PUMA, CT",84872400.71536003,Athletes and sports competitors,1470810095.0588236,93844429.49892953
1140,"Phoenix City (Northeast Central) PUMA, AZ",84856739.93984917,Veterinarians,368726780.74999994,171603331.8240765
1141,"Austin City (North) PUMA, TX",84849435.4046246,Physicians,409696439.4375,418213885.2623563
1142,"Jackson, Wetzel, Roane, Braxton, Ritchie, Tyler, Gilmer & Calhoun Counties PUMA, WV",84804647.46159333,Management analysts,716968741.5789474,144421115.31703618
1143,"Thomas Jefferson Planning District Commission (North) PUMA, VA",84783828.30846696,Credit counselors & loan officers,998686272.75,137235832.17932606
1144,"Collier County (East) PUMA, FL",84761316.5568766,Information security analysts,975077501.3592234,200694182.4692968
1145,"Lowell City PUMA, MA",84758537.81400655,Insurance sales agents,408433757.40983605,108894176.09057176
1146,"Spokane City (South) PUMA, WA",84743997.76555452,Surgeons,1067259235.9411764,571660495.1726127
1147,"Dodge & Jefferson Counties PUMA, WI",84729527.72341639,Veterinarians,899283691.1999999,171603331.8240765
1148,"Mint Hill & Matthews (North) Towns PUMA, NC",84718092.59890544,Physicians,846023144.5217391,418213885.2623563
1149,"La Mirada & Santa Fe Springs Cities PUMA, CA",84647205.45724644,Firstline supervisors of police & detectives,327556308.4705883,146626147.25385883
1150,"Iowa City PUMA, IA",84645661.59064195,Actuaries,827586769.6363636,265049587.04010835
1151,"DeSoto & Lancaster Cities PUMA, TX",84636596.9711669,"Business operations specialists, all other",958689689.3684211,121531236.01207739
1152,"Northeast Georgia Regional Commission (East) PUMA, GA",84629958.7546193,"Miscellaneous engineers, including nuclear engineers",964835099.0204082,174746885.31786102
1153,"Leyden, Norwood Park (South) Townships & Chicago CityO'Hare PUMA, IL",84581687.72522652,Social & community service managers,409696450.58823526,109007660.97080216
1154,"Wakefield, Williamsbridge & Woodlawn PUMA, NY",84545799.30523857,"Securities, commodities, & financial services sales agents",614544621.8181818,235476111.74532747
1155,"Fulton County (Central)Atlanta City (South) PUMA, GA",84531970.37941326,Dentists,964835065.7419356,258225172.68799314
1156,"Jefferson County (North) PUMA, MO",84529673.50639133,Computer & information systems managers,343901308.9962825,207310144.3027507
1157,"Orlando City (East Downtown) & Azalea Park PUMA, FL",84500503.97346519,Surgeons,975077515.6363636,571660495.1726127
1158,"Colorado Springs City (East) & Cimarron Hills PUMA, CO",84452059.55225839,Computer network architects,340658224.62765956,192965510.23446938
1159,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA",84417128.5523443,Surgical technologists,1157392445.7810218,87525999.09572947
1160,"Jackson Heights & North Corona PUMA, NY",84349098.76571414,Optometrists,319563198.75,184080141.33135125
1161,"Fairfield County PUMA, OH",84312098.38841671,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",399454039.3235294,158606202.17782545
1162,"Minneapolis (North) & St. Anthony Cities PUMA, MN",84279842.42914027,Architectural & engineering managers,997610841.4915254,271146679.44610673
1163,"Columbus City PUMA, IN",84258171.70698,Personal financial advisors,843974646.2439024,224327492.92839324
1164,"Westminster & Northglenn Cities PUMA, CO",84228399.88988236,Sales engineers,327757123.4666667,219954122.53236544
1165,"Peoria City PUMA, IL",84192441.15101285,Architectural & engineering managers,662380784.592,271146679.44610673
1166,"Outer Green Bay City PUMA, WI",84191745.84631528,Nurse anesthetists,409696426.8,278728431.6744965
1167,"Northern Kentucky Area Development District (Southeast) PUMA, KY",84178103.24852385,"Sales representatives of services, except advertising, insurance, financial services, and travel",302947741.08196723,152470294.37031612
1168,"Modesto City (East) PUMA, CA",84170478.50633925,Physicians,1099135554.107317,418213885.2623563
1169,"Clearwater City (South & Central) PUMA, FL",84158822.82823871,Civil engineers,975077533.1428572,158104345.4689587
1170,"Virginia Beach City (Central) PUMA, VA",84124250.52032413,Dentists,430181270.28571415,258225172.68799314
1171,"Greater Binghamton City & Greater Johnson City Village PUMA, NY",84083135.87220193,Optometrists,1351998168.0,184080141.33135125
1172,"Greater Spokane Valley City PUMA, WA",84051668.63088143,Other Sales Workers,1067259282.9850745,93899896.54026239
1173,"St. Croix & Dunn Counties PUMA, WI",84032385.35738884,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",899283691.1999999,64589759.873817965
1174,"Harrison, Marion, Taylor & Doddridge Counties PUMA, WV",84024027.21376184,Management analysts,716968746.9,144421115.31703618
1175,"Grayson, Cooke & Fannin Counties PUMA, TX",84017613.75809574,Firstline supervisors of housekeeping & janitorial workers,958689629.2173914,61544558.4797726
1176,"Greensburg City PUMA, PA",84010589.90237609,"Business operations specialists, all other",409696445.1818182,121531236.01207739
1177,"Houston City (West)North of US-90 & West of TX-6 PUMA, TX",83984633.55873854,Firstline supervisors of production & operating workers,462956965.64885485,106683053.85064176
1178,"Bensonhurst & Bath Beach PUMA, NY",83945368.23079391,"Television, video, & motion picture camera operators & editors",614544633.6774194,77458074.27247986
1179,"Beaumont City PUMA, TX",83894601.98701838,Personal financial advisors,958689625.5157894,224327492.92839324
1180,"Oxnard & Port Hueneme Cities PUMA, CA",83854753.81779583,Medical & health services managers,572739526.9123868,150928545.6935578
1181,"Mishawaka City PUMA, IN",83843303.94351742,Physicians,647477411.973713,418213885.2623563
1182,"Maui, Kalawao & Kauai Counties PUMA, HI",83838049.74150126,"Securities, commodities, & financial services sales agents",825538291.8260869,235476111.74532747
1183,"Newport News City PUMA, VA",83799792.97257869,Physicians,654882394.9848156,418213885.2623563
1184,"Grand Forks City PUMA, ND",83721977.30523399,Industrial production managers,823489830.0,156312696.47488225
1185,"Summerville Town & Ladson PUMA, SC",83704351.81971441,"Legal support workers, all other",862411001.4151624,104844134.74981996
1186,"Jeffersonville City PUMA, IN",83654230.5194674,"Lawyers, & judges, magistrates, & other judicial workers",432950369.96091205,251695543.47547695
1187,"New Orleans City (Northeast) PUMA, LA",83652862.95962992,Financial analysts,794811013.7931035,201459377.03718996
1188,"Schenectady City PUMA, NY",83614728.90513651,Physicians,430998802.49327356,418213885.2623563
1189,"Cowlitz, Pacific & Wahkiakum Counties PUMA, WA",83609991.35484344,Physicians,676072568.7968128,418213885.2623563
1190,"Murray (East), Holladay Cities & Millcreek PUMA, UT",83601498.40372255,Physicians,504630777.6399457,418213885.2623563
1191,"Kingston Borough PUMA, PA",83562558.0228173,Physicians,995562329.5555556,418213885.2623563
1192,"Bloom & Rich Townships PUMA, IL",83535362.13256343,Surgeons,614544621.8181818,571660495.1726127
1193,"Madison City (Central) PUMA, WI",83519686.91389365,Dental assistants,899283691.1999999,52340939.48168602
1194,"Orange County (Northeast) PUMA, FL",83516939.53724185,Sales engineers,975077508.3564355,219954122.53236544
1195,"Erie County (North Central) PUMA, NY",83513282.37829913,Aircraft mechanics & service technicians,512120547.4128441,100729447.02662206
1196,"Carson City, Lyon, Douglas & Storey Counties PUMA, NV",83497632.72079831,Physicians,944350292.7761195,418213885.2623563
1197,"Genesee (East) & Lapeer Counties PUMA, MI",83492738.96088101,Dentists,874701853.5384617,258225172.68799314
1198,"Ceres, Patterson & Newman Cities PUMA, CA",83480119.80267052,"Transportation, storage, & distribution managers",1157392420.875,108572686.59123921
1199,"Northern Shenandoah Valley Regional Commission (South) PUMA, VA",83477012.00340635,Personal financial advisors,1024241090.5116279,224327492.92839324
1200,"Cape Coral City PUMA, FL",83438442.55274437,Nuclear medicine technologists and medical dosimetrists,975077537.4222223,268817089.05138195
1201,"Greer City (North & West) & Taylors (Central & East) PUMA, SC",83434194.6841193,Credit counselors & loan officers,862410977.8775511,137235832.17932606
1202,"Lakewood (North), Wheat Ridge & Golden Cities PUMA, CO",83428302.42213394,Architectural & engineering managers,409696444.3826086,271146679.44610673
1203,"Milwaukee City (South) PUMA, WI",83419568.99716386,Clinical laboratory technologists & technicians,460908493.21348304,81966040.33657517
1204,"Fort Collins City PUMA, CO",83411531.05218516,Physicians,765167195.8961539,418213885.2623563
1205,"Wichita (Northwest) & Newton Cities PUMA, KS",83317584.41875567,"Lawyers, & judges, magistrates, & other judicial workers",718633139.8455882,251695543.47547695
1206,"Visalia City PUMA, CA",83246567.71218239,Financial managers,566963860.4503735,186102768.20035145
1207,"Worth & Calumet Townships PUMA, IL",83240796.24514663,Personal financial advisors,512120547.94285715,224327492.92839324
1208,"Kosciusko & Marshall Counties PUMA, IN",83221817.61895609,"Lawyers, & judges, magistrates, & other judicial workers",843974647.8095237,251695543.47547695
1209,"St. Paul City (East) PUMA, MN",83193100.24000204,Home health aides,997610795.7966102,36092229.28446334
1210,"Memphis City (Central Riverside) PUMA, TN",83189412.10873635,"Archivists, curators, & museum technicians",460908486.46875,77285133.42324777
1211,"Brazoria County (Central)Alvin City PUMA, TX",83184599.39966239,Chemical engineers,368726775.79411757,193520353.50678676
1212,"Woodburn & Silverton Cities PUMA, OR",83183926.97683436,Dentists,479344821.75609756,258225172.68799314
1213,"Mesa City (East) PUMA, AZ",83181458.43875028,Physicians,450592756.0168422,418213885.2623563
1214,"Greenville & Mauldin Cities PUMA, SC",83167989.21271293,Physicians,507247321.181955,418213885.2623563
1215,"Riverside City (East) PUMA, CA",83163815.60073479,Nuclear medicine technologists and medical dosimetrists,532605344.635514,268817089.05138195
1216,"Between Loop TX-1604 & Loop I-410 PUMA, TX (79500US4805912)",83162247.4994589,Physicians,688100940.6461539,418213885.2623563
1217,"Margate & Coconut Creek Cities PUMA, FL",83147632.83200718,Jewelers & precious stone & metal workers,458859992.9411765,44489865.787169285
1218,"Greene County PUMA, OH",83140811.5881631,Personal financial advisors,884944322.4303797,224327492.92839324
1219,"Avondale (Central) & Litchfield Park (Central) Cities PUMA, AZ",83137078.54514247,Sales managers,843974643.457627,215569207.83716124
1220,"Erie County (Northwest) PUMA, NY",83126432.8359869,Architectural & engineering managers,669853651.3263158,271146679.44610673
1221,"Jefferson Parish (North) PUMA, LA",83117016.22934541,Pharmacists,469575126.0,179214605.3943039
1222,"Mankato City PUMA, MN",83081968.32376659,Aircraft pilots & flight engineers,604875773.2,233771261.06901407
1223,"Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA, CA",83071816.92416538,Firstline supervisors of office & administrative support workers,603461976.7164179,96541120.8217772
1224,"Akron (West) & Cuyahoga Falls (West) Cities PUMA, OH",83049800.61740007,Personal financial advisors,884944294.9253731,224327492.92839324
1225,"Citrus Heights City PUMA, CA",83016958.69243081,Insurance underwriters,1157392388.7457626,132720045.10173878
1226,"Boise (South) & Kuna Cities PUMA, ID",83016766.0481094,Physicians,591432428.5434784,418213885.2623563
1227,"Cache, Summit, Morgan & Rich Counties PUMA, UT",83014506.58778132,Personal financial advisors,860362516.5,224327492.92839324
1228,"Licking County PUMA, OH",83009884.72846861,Training & development specialists,463127117.16393447,104997379.77448316
1229,"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions PUMA, VA",83004886.55379613,"Securities, commodities, & financial services sales agents",1024241144.7692306,235476111.74532747
1230,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA, MD",82960799.36067128,Veterinarians,803389043.75,171603331.8240765
1231,"Mower, Steele, Freeborn & Dodge Counties PUMA, MN",82930101.83743033,Diagnostic medical sonographers,997610765.3333335,149349949.37101868
1232,"Miami City (West) PUMA, FL",82892273.4408286,"Securities, commodities, & financial services sales agents",975077533.1428572,235476111.74532747
1233,"Gwinnett County (Southwest)Lilburn City PUMA, GA",82890554.40632269,Miscellaneous health technologists & technicians,409696432.0519481,82662374.4689923
1234,"Shreveport City (South) PUMA, LA",82843937.06768554,Nurse anesthetists,794811068.7272729,278728431.6744965
1235,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties PUMA, MN",82839897.76769857,Physicians,997610867.4545454,418213885.2623563
1236,"Norwalk City PUMA, CA",82833582.56424868,"Business operations specialists, all other",327757118.7368421,121531236.01207739
1237,"Decatur City PUMA, IL",82822743.01457244,"Sales representatives of services, except advertising, insurance, financial services, and travel",1112325855.2258065,152470294.37031612
1238,"Fond du Lac & Calumet Counties PUMA, WI",82807278.98276283,Operations research analysts,899283678.5625,147021765.99378487
1239,"Gardena, Lawndale Cities & West Athens PUMA, CA",82801813.19990951,Cost estimators,337999542.0,119224414.19934453
1240,"Orange County (Northwest) PUMA, FL",82801434.44604191,Nuclear medicine technologists and medical dosimetrists,975077507.4666667,268817089.05138195
1241,"Hendersonville City PUMA, TN",82765582.63884327,Dentists,901332131.8235295,258225172.68799314
1242,"Sarasota County (North) PUMA, FL",82761957.99136259,Chiropractors,975077531.1157894,119155080.62719586
1243,"Atlantic City & Ventnor City PUMA, NJ",82750810.90773235,Firstline supervisors of nonretail sales workers,767834593.2676057,143109662.6477693
1244,"Orlando City (South Central), Conway & Pine Castle PUMA, FL",82723780.70814599,Physicians,975077524.6470588,418213885.2623563
1245,"Raleigh City (North) PUMA, NC",82718794.21882643,Network and computer systems administrators,481393323.3786408,141703059.05363485
1246,"Oakland City (South Central) PUMA, CA",82690398.875084,Computer & information systems managers,389211631.6510067,207310144.3027507
1247,"Cheney City PUMA, WA",82639346.72988482,Actuaries,518266075.41176474,265049587.04010835
1248,"Huntsville City (Far West & Southwest) PUMA, AL",82620610.3519351,Recreation workers,400478279.59322035,28934268.517146334
1249,"Marathon County PUMA, WI",82604232.38829385,Education administrators,619358475.1627907,124577464.58058551
1250,"Richmond City PUMA, VA",82597289.56191465,Chief executives & legislators,743453879.8148572,285675917.3191395
1251,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, AL",82557363.8968776,"Miscellaneous engineers, including nuclear engineers",800956574.0869566,174746885.31786102
1252,"Tompkins County PUMA, NY",82555707.14371066,"Agents & business managers of artists, performers, & athletes",1351998168.0,105882405.4235695
1253,"Jackson County (East) PUMA, MO",82528006.25356479,Magnetic resonance imaging technologists,471150912.5660378,203515513.71080974
1254,"Grant & Kittitas Counties PUMA, WA",82522228.69983056,Surgeons,1067259219.2359551,571660495.1726127
1255,"Borough Park, Kensington & Ocean Parkway PUMA, NY",82500381.28017202,Actuaries,632980985.8571429,265049587.04010835
1256,"Glendale City (North) PUMA, AZ",82493176.11495851,Dentists,843974631.9207921,258225172.68799314
1257,"Mount Clemens & Fraser Area PUMA, MI",82486995.74399665,Other Physical Scientists,874701871.3142858,149247353.92702162
1258,"Yamhill & Polk Counties PUMA, OR",82475738.30354781,Surgeons,835780677.5779817,571660495.1726127
1259,"Biddeford & Saco Cities PUMA, ME",82474102.72008364,Physicians,435124089.2340425,418213885.2623563
1260,"Trussville, Center Point & Gardendale Cities PUMA, AL",82446713.60630411,"Medical scientists, & life scientists, all other",409696441.77777785,161714428.60932094
1261,"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, AK",82396915.53064956,Mining machine operators,403550995.11627907,111824847.94624251
1262,"Hibbing & Cloquet Cities PUMA, MN",82394715.37505746,Pharmacists,729982256.7766991,179214605.3943039
1263,"Bowling Green City PUMA, OH",82329962.3470292,Dietitians & nutritionists,884944318.4415585,79053290.06782268
1264,"Barrow & Jackson Counties PUMA, GA",82295904.7941432,Other financial clerks,964835095.8461539,154601498.81592458
1265,"Mobile City (East) PUMA, AL",82231910.46250002,Nurse anesthetists,800956551.7090908,278728431.6744965
1266,"Portland City (Southeast) PUMA, OR",82224567.39473559,Architectural & engineering managers,835780653.7043477,271146679.44610673
1267,"Wilmington City PUMA, DE",82219186.59355633,Physicians,975077475.891892,418213885.2623563
1268,"Covina & Walnut Cities PUMA, CA",82213331.73170666,Cost estimators,544467736.4081633,119224414.19934453
1269,"Aiken & North Augusta Cities PUMA, SC",82195481.39653483,"Lawyers, & judges, magistrates, & other judicial workers",478962800.6134969,251695543.47547695
1270,"Racine County PUMA, WI",82180216.14844877,Physicians,579028972.0759494,418213885.2623563
1271,"Tipton, Fayette & Lauderdale Counties PUMA, TN",82164264.80298516,Cost estimators,901332170.6086956,119224414.19934453
1272,"Eagle City PUMA, ID",82025042.48445733,Veterinarians,811198930.3902439,171603331.8240765
1273,"Kalamazoo & Portage Cities Area PUMA, MI",82005872.97897932,Dentists,874701832.8000001,258225172.68799314
1274,"Montgomery City & Pike Road Town (North) PUMA, AL",81960257.07450332,"Social workers, all other",355449183.50549453,85852685.8594997
1275,"Reno City PUMA, NV",81934339.4165513,Dentists,944350299.1858408,258225172.68799314
1276,"Gwinnett County (South)Snellville City PUMA, GA",81927961.63466308,Firstline supervisors of housekeeping & janitorial workers,358484350.91566265,61544558.4797726
1277,"Ottawa County (West) PUMA, MI",81878213.06203838,Surgeons,874701854.958904,571660495.1726127
1278,"Washington County PUMA, AR",81865173.27910326,Procurement clerks,864459475.0588236,110300325.66559133
1279,"Soddy-Daisy City PUMA, TN",81861742.97502802,Nurse anesthetists,901332112.0,278728431.6744965
1280,"Worcester City PUMA, MA",81826855.39738517,Chief executives & legislators,550395244.9672132,285675917.3191395
1281,"Houston-Galveston Area Council (West) PUMA, TX",81814357.86800398,Architectural & engineering managers,450666073.06329113,271146679.44610673
1282,"Brighton Beach & Coney Island PUMA, NY",81813902.23566629,"Eligibility interviewers, government programs",409696450.58823526,77093456.59186015
1283,"Norman, Oklahoma City (South) & Moore Cities PUMA, OK",81813846.96280241,Dentists,846023081.7514794,258225172.68799314
1284,"Myrtle Beach, North Myrtle Beach Cities & Socastee (East) PUMA, SC",81811903.14332601,Magnetic resonance imaging technologists,862411004.6999999,203515513.71080974
1285,"Dundalk, Essex & Edgemere PUMA, MD",81798540.66952562,Management analysts,409696454.6896552,144421115.31703618
1286,"The Hammocks (West), Richmond West (West) & Country Walk PUMA, FL",81795523.57729448,Reservation & transportation ticket agents & travel clerks,409696429.55102044,68162467.1715784
1287,"Franklin County PUMA, MO",81782189.96648264,Dentists,852168571.7522124,258225172.68799314
1288,"Whitfield County PUMA, GA",81748105.3888668,Chief executives & legislators,683708859.7090908,285675917.3191395
1289,"Miami County PUMA, OH",81711011.35726508,Chief executives & legislators,458209411.93133044,285675917.3191395
1290,"Jamestown City PUMA, ND",81654725.15154509,Physicians,823489852.2197802,418213885.2623563
1291,"Santa Ana City (East) PUMA, CA",81599279.11904745,Other psychologists,694360976.2909092,108305381.82361618
1292,"Polk County (Central) PUMA, FL",81554810.2813125,Physicians,713281522.6727272,418213885.2623563
1293,"Nashville-Davidson (East) PUMA, TN",81554790.49960281,Aircraft pilots & flight engineers,901332112.0,233771261.06901407
1294,"Sarasota County (Central & Gulf Coast) PUMA, FL",81550596.88901041,Other Sales Workers,749404553.5021836,93899896.54026239
1295,"Memphis City (Southeast) PUMA, TN",81549755.22684197,Physicians,749443929.6826347,418213885.2623563
1296,"Sacramento City (North), Antelope & Rio Linda PUMA, CA",81525761.14102341,Physicians,1157392443.1764708,418213885.2623563
1297,"Manitowoc & Kewaunee Counties PUMA, WI",81512512.37419498,Physicians,813301086.7860262,418213885.2623563
1298,"Northwest Lower Peninsula (West) PUMA, MI",81507321.23808259,"Securities, commodities, & financial services sales agents",874701875.3684211,235476111.74532747
1299,"Wilmington City PUMA, NC",81499756.44122829,"Securities, commodities, & financial services sales agents",846023125.2587411,235476111.74532747
1300,"Winona City PUMA, MN",81495138.73525496,Personal financial advisors,997610791.764706,224327492.92839324
1301,"Pflugerville, Manor Cities & Wells Branch PUMA, TX",81477430.51784602,Producers & directors,421987308.8671329,131553561.66417725
1302,"Greece & Gates Towns PUMA, NY",81370367.85294318,Chief executives & legislators,362557617.5189711,285675917.3191395
1303,"Allston, Brighton & Fenway PUMA, MA",81347341.09481053,Chief executives & legislators,1047471210.0618557,285675917.3191395
1304,"Douglas County PUMA, GA",81339997.53347811,Physicians,964835123.2941177,418213885.2623563
1305,"Camden & Gloucester Cities PUMA, NJ",81336663.0090613,Chiropractors,614544625.8360656,119155080.62719586
1306,"Rio Grande COG & Permian Basin Regional Planning Commission (West) PUMA, TX",81330604.79843947,Surgeons,958689672.4761906,571660495.1726127
1307,"Lee, Pontotoc & Union CountiesTupelo City PUMA, MS",81323922.37037691,Photographers,686241553.3457944,37824933.1601387
1308,"Johnston County PUMA, NC",81312110.94686055,Insurance sales agents,726923387.9504132,108894176.09057176
1309,"Erie & Sandusky Counties PUMA, OH",81306577.32547405,Veterinarians,884944312.054054,171603331.8240765
1310,"Auglaize, Mercer & Van Wert Counties PUMA, OH",81298150.30127756,"Chemical processing machine setters, operators, & tenders",884944266.8275862,93675096.70336276
