,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
244,"Broomall & Ardmore (West) PUMA, PA",59212.80294462118,Natural sciences managers,492365.17647058825,87041.6083510504,4.8586396541626815
351,"Centreville (North & West) & Chantilly (South & West) PUMA, VA",59183.296343788206,Human resources managers,506548.4878048781,72391.03540336741,4.951534681886408
733,"Fort Bend County (West & South) PUMA, TX",59173.53183708914,Economists,474129.41353383457,114682.51872642573,4.854824061602122
2004,"South Plainfield & Middlesex Boroughs PUMA, NJ",59022.66634794342,Cardiovascular technologists and technicians,645342.8051948051,76805.666221549,4.887236351029392
919,"Hempstead Town (Northeast) PUMA, NY",58999.770290423745,Chief executives & legislators,327475.82081911265,141283.83645852594,4.975688947803952
762,"Frisco (West), The Colony & Little Elm Cities PUMA, TX",58876.55788424457,"Securities, commodities, & financial services sales agents",345547.7943548387,116457.02855852002,5.1012871524089975
1731,"Point Pleasant Borough PUMA, NJ",58763.580145444146,Stationary engineers & boiler operators,645342.8461538461,52943.046979418286,4.825150188669859
959,"Hockessin PUMA, DE",58745.396003220485,Phlebotomists,482234.208588957,25624.92292170621,5.018396684129895
805,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA, CT",58690.101547828606,Radiologic technologists and technicians,303929.1002865329,56736.64149052558,4.925906237603797
2233,"Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA, MA",58622.20696728726,Other financial clerks,506326.6423357664,76459.69278730197,4.993689829208762
656,"Ela, Freemont, Wauconda & Cuba Townships PUMA, IL",58597.58191460229,"Miscellaneous first-line supervisors, protective service workers",550111.6888888889,56702.29217997607,4.823203817542059
1969,"Shoreline, Kenmore & Bothell (South) Cities PUMA, WA",58540.53610618313,Nurse practitioners & nurse midwives,527823.5769230769,87225.35349109002,5.024650309584224
600,"DuPage & Wheatland Townships PUMA, IL",58532.88319923252,Aircraft pilots & flight engineers,550111.6994219653,115613.87787785068,5.116013578280712
2354,"Woodbury & Cottage Grove Cities PUMA, MN",58496.858363841086,Physicians,383203.9565217392,206831.79290917717,4.766884646204069
1280,"Lyndhurst, Mayfield Heights, Shaker Heights & Solon Cities PUMA, OH",58467.40736805257,Other financial specialists,437657.9428571428,98080.72862112064,4.926043520019088
1838,"Rockville, Gaithersburg Cities & North Potomac PUMA, MD",58442.54227600362,Physicians,280582.39431818185,206831.79290917717,5.197838606538379
579,"District of Columbia (Northeast) PUMA, DC",58347.952986350036,Judicial law clerks,676748.8,45501.206595896656,4.915141607951859
1932,"Saratoga County (Outer) PUMA, NY",58331.363151530335,Nuclear medicine technologists and medical dosimetrists,668644.031496063,132946.1370184876,4.907466609045699
1498,"Niles & Evanston Townships PUMA, IL",58290.08512427926,Sales managers,550111.6923076923,106611.873312147,5.015942827268774
1282,"Lyons & Stickney Townships PUMA, IL",58196.98212168647,Radiologic technologists and technicians,550111.7014925373,56736.64149052558,4.925968873369971
2078,"St. Louis County (West) PUMA, MO",58194.83616995447,Surgeons,421448.3571428572,282720.32402206364,4.814969805130026
49,"Annandale, West Falls Church & Bailey's Crossroads PUMA, VA",58151.916660718,Dentists,284992.7102803738,127707.80053807772,5.116375177123691
1383,"Milpitas & San Jose (Northeast) Cities PUMA, CA",58148.9841159484,Radio & telecommunications equipment installers & repairers,365499.264516129,44276.66890565007,5.027431160295256
1176,"Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",58026.48573830932,Chemical engineers,319292.5421245421,95707.39540394994,4.994315417598222
608,"Dutchess County (North & East) PUMA, NY",58013.71423122066,Producers & directors,668644.0,65061.10863708074,4.917997885119598
1610,"Orland (West & Central), Palos & Lemont Townships PUMA, IL",57989.30310106135,Administrative services managers,550111.6712328767,65180.52933783396,4.954539205200927
1130,"LA City (Central/Hancock Park & Mid-Wilshire) PUMA, CA",57941.925553686495,"Miscellaneous community & social service specialists, including health educators & community health workers",572399.8208955224,35919.69688191546,5.001365098489824
1302,"Maple Valley, Covington & Enumclaw Cities PUMA, WA",57917.35451410514,Other healthcare practitioners & technical Occupations,401344.734375,50832.997136739934,5.0044735736213575
973,"Houston City (Far Northeast) PUMA, TX",57834.71741217444,"Firstline supervisors of mechanics, installers, & repairers",402512.65454545454,55421.74534635547,4.742028828385335
1027,"Irving (North), Coppell & Carrollton (Southwest) Cities PUMA, TX",57825.98538164768,Advertising sales agents,310975.5748031496,59021.9754631948,4.970836475656307
1817,"Ridgewood, Glendale & Middle Village PUMA, NY",57798.96010524854,Dentists,668644.0,127707.80053807772,5.195239679788316
745,"Framingham Town, Marlborough City & Natick Town PUMA, MA",57797.90347971717,"Securities, commodities, & financial services sales agents",359649.45,116457.02855852002,5.093242752234977
1375,"Middlesex County (Southeast) PUMA, NJ",57797.56209364545,Financial analysts,645342.8468468469,99633.71762472302,5.0538663548386085
2286,"West Chester Borough PUMA, PA",57742.555012729164,Physicians,492365.1629955947,206831.79290917717,4.829861623636512
556,"Delaware County (West) PUMA, PA",57701.21024307267,Physicians,338650.69696969696,206831.79290917717,4.782565271884711
2299,"West Ridge, Lincoln Square & North Center PUMA, IL",57673.28980599565,Other financial clerks,550111.7108433734,76459.69278730197,4.9226556560587085
456,"Columbia (East), Ellicott City (Southeast) & Elkridge PUMA, MD",57592.410706897565,Facilities managers,265658.9411764706,63234.3637466893,5.252017307311019
2104,"Suffolk County (East) PUMA, NY",57569.38022499662,"Agents & business managers of artists, performers, & athletes",354583.9292035398,52365.18566942112,4.839171717380705
2260,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",57514.41173681321,Electrical powerline installers & repairers,432592.4230769231,65493.39119757196,4.801016636203962
1361,"Miami City (East) & Key Biscayne Village PUMA, FL",57489.20899094447,"News analysts, reporters, and journalists",482234.2,55210.178798093686,4.741471249655538
234,"Broadview Heights, North Royalton & Strongsville Cities PUMA, OH",57386.460035779164,Biomedical & agricultural engineers,437657.9220779221,78561.54284776543,4.9185454747154935
124,"Bay Ridge & Dyker Heights PUMA, NY",57378.78962106354,Loan interviewers & clerks,668644.0,41311.80037528319,5.075679307938965
518,"Dallas (West Central), University Park Cities & Highland Park Town PUMA, TX",57347.163825675045,"Securities, commodities, & financial services sales agents",355454.3661971831,116457.02855852002,4.874029874458187
1897,"San Jose (Northwest) & Santa Clara Cities PUMA, CA",57328.45095975869,Surgeons,572399.7974683545,282720.32402206364,4.943924430616995
698,"Fairland, Calverton, White Oak & Burtonsville PUMA, MD",57245.234722075715,Dentists,508574.701754386,127707.80053807772,4.8989697740969405
557,"Delaware County PUMA, OH",57243.46078575774,Sales engineers,437657.9142857143,108780.47602985433,5.056387373077332
225,"Brentwood & Oakley Cities PUMA, CA",57223.61519734032,Sales engineers,263405.22641509434,108780.47602985433,4.93000095659942
620,"East Harlem PUMA, NY",57204.72605630711,Surgeons,668644.0,282720.32402206364,4.517547538807735
356,"Champlin, Rogers Cities & Lake Minnetonka PUMA, MN",57159.87017996851,Physician assistants,493378.253968254,92251.10058815022,4.642101828779685
294,"Capitol Hill PUMA, WA",57141.11419042998,Cost estimators,400834.73575129535,58963.60741807346,4.899824873502047
237,"Brookhaven Town (North) PUMA, NY",57115.14146277985,Surgeons,521021.3095238095,282720.32402206364,4.893574628546024
769,"Fulton County (East)Atlanta City (Southeast) PUMA, GA",57106.83362806304,Magnetic resonance imaging technologists,477168.6857142857,100650.60025262598,5.162632601224517
1092,"Kane County (West) PUMA, IL",57096.18326914468,Purchasing managers,411104.27508090617,74013.09656763387,4.712712468040616
1384,"Milton Township PUMA, IL",56789.184263029274,Personal financial advisors,349855.4690082645,110943.36940078795,5.0309475021771695
1567,"Oakland County (Northeast) PUMA, MI",56784.825336387155,Purchasing managers,432592.4123711341,74013.09656763387,4.934994528699461
450,"Colorado Springs City (North) & Monument Town PUMA, CO",56779.26010297441,Commercial and industrial designers,504522.3087248322,64670.474974791454,4.822495875726761
754,"Frederick County (Outside Greater Frederick City) PUMA, MD",56727.54353694983,Other financial specialists,508574.68493150687,98080.72862112064,5.160811039465588
1401,"Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA, TX",56708.25248219209,"Lawyers, & judges, magistrates, & other judicial workers",474129.4065934066,124478.50814810928,4.616715317170795
37,"Amesbury Town City PUMA, MA",56702.182200439776,Physicians,404755.16582914576,206831.79290917717,4.986247556612684
644,"Edmond & Oklahoma City (North Central) Cities PUMA, OK",56674.486849823166,"Other engineering technologists and technicians, except drafters",418409.0833333333,50386.275107003865,4.6241679019196855
2336,"Willow Grove, Horsham & Montgomeryville PUMA, PA",56658.4896630351,Physicians,492365.1444444445,206831.79290917717,4.9454596709275
2129,"Takoma Park City & Silver Spring PUMA, MD",56618.941904587715,"Entertainers & performers, sports & related workers, all other",273536.18859649124,20966.251639698374,4.9991522919844265
2113,"Sunnyside & Woodside PUMA, NY",56616.06065134938,Coaches and scouts,379911.36,23108.58017214645,5.074234528976493
1291,"Maine, Norwood Park Townships & Chicago CityEdison Park PUMA, IL",56609.526406743615,Information security analysts,550111.7108433734,99255.28312032484,5.137332023257864
331,"Castro Valley, San Lorenzo & Ashland PUMA, CA",56546.833258190025,Aircraft mechanics & service technicians,572399.8148148148,49816.739380129606,4.991139704105277
1852,"Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA, NJ",56529.795827940485,Correspondence clerks & order clerks,319125.5555555556,25475.875527645385,5.105903242536675
747,"Frankfort, Homer & New Lenox (North) Townships PUMA, IL",56523.583586035864,Dental hygienists,550111.661971831,45805.26850247612,4.963885121503451
2350,"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA, MA",56482.347645640184,Market research analysts & marketing specialists,480995.2229299363,67737.87609580542,5.014456120684247
330,"Castle Rock Town PUMA, CO",56474.29523145699,Surgeons,504522.3188405797,282720.32402206364,4.902719805952886
1174,"Lake Forest, Irvine (North) Cities & Silverado PUMA, CA",56445.64861485155,Physician assistants,572399.8279569893,92251.10058815022,5.121361869545752
1504,"Norristown Borough PUMA, PA",56427.15618853738,Market research analysts & marketing specialists,307728.2213541667,67737.87609580542,4.783086533068483
466,"Columbus (Far Northwest), Dublin & Hilliard (North) Cities PUMA, OH",56382.59387287632,Surgeons,437657.9240506329,282720.32402206364,4.799630237274849
585,"Dorchester & South Boston PUMA, MA",56318.094156032006,Chief executives & legislators,322686.5825,141283.83645852594,5.094603586156535
2179,"Troy & Rochester Area PUMA, MI",56300.49320475096,Nuclear medicine technologists and medical dosimetrists,432592.42553191487,132946.1370184876,4.907578128399163
434,"Cobb County (Northeast) PUMA, GA",56291.93127616214,Diagnostic medical sonographers,477168.69696969696,73862.48732493505,5.107702909020618
1809,"Richmond (North), Hercules & El Cerrito Cites PUMA, CA",56258.25104690982,Compensation & benefits managers,572399.8156682028,78976.88495217955,5.007712654287989
491,"Corona City (South), Woodcrest & Home Gardens PUMA, CA",56234.31511854413,Surgeons,572399.8032786886,282720.32402206364,4.769763145314889
141,"Bel Air Town, Fallston & Jarrettsville PUMA, MD",56214.992843122986,"Wholesale & retail buyers, except farm products",508574.68493150687,34179.94080459817,5.1051213367500905
2269,"Waukesha County (West) PUMA, WI",56206.89151380958,Financial analysts,444749.5945945946,99633.71762472302,4.855760746855307
905,"Hartford County (North) PUMA, CT",56142.13881562219,Actuaries,727403.6296296297,131082.8818200338,5.187970661560605
621,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA, CT",56134.392382358026,Natural sciences managers,405238.796460177,87041.6083510504,4.954499752038293
2168,"Tomball City & The Woodlands (Southwest) PUMA, TX",56067.48810338883,Real estate brokers & sales agents,316503.83952702704,43001.75341421511,4.661669525956684
1516,"North Plainfield & Somerville Boroughs PUMA, NJ",56060.694923095674,Other financial specialists,243143.29166666663,98080.72862112064,5.061450720699092
578,"District of Columbia (North) PUMA, DC",55980.25502387026,Sales managers,319417.51296829974,106611.873312147,5.000474373574417
626,"East Orange City PUMA, NJ",55915.40589914271,Surgeons,645342.8095238095,282720.32402206364,5.0533054350698245
432,"Coatesville City PUMA, PA",55904.75868543511,"Plumbers, pipefitters, and steamfitters",492365.15555555554,42818.8588668122,5.001354425108035
2015,"South of I-635 & West of US-75 PUMA, TX",55900.81296763184,Surgeons,474129.40579710144,282720.32402206364,4.8273776347044945
1267,"Louisville/Jefferson County (Northeast) PUMA, KY",55896.65332533059,Surgeons,403212.6111111111,282720.32402206364,5.0636208270970124
660,"Elk Grove & Wheeling (Southwest) Townships PUMA, IL",55849.43813957182,Human resources managers,363609.7207792208,72391.03540336741,4.925321027100311
1727,"Plymouth County (Central) PUMA, MA",55824.528183727496,Aircraft pilots & flight engineers,356652.3458333333,115613.87787785068,5.004663043758312
1517,"North Richland Hills (North) & Keller Cities PUMA, TX",55816.618296756504,"Transportation, storage, & distribution managers",474129.4035087719,53695.69069794224,5.015566084515001
212,"Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA, MD",55804.41622254969,"Pressers, textile, garment, & related materials",508574.679245283,16193.32000426246,5.2633152141291
1346,"Mercer County (South) PUMA, NJ",55789.509803803834,Magnetic resonance imaging technologists,645342.8333333334,100650.60025262598,4.778257232758584
1599,"Orange & Villa Park Cities PUMA, CA",55778.30716799062,Sales managers,572399.8333333334,106611.873312147,5.053148067888822
1263,"Long Branch, Asbury Park Cities & Eatontown Borough PUMA, NJ",55771.71620895255,Insurance sales agents,645342.8148148148,53854.68649385349,4.721460014305129
